look_id,look_name,finish_a,finish_b,colour_a,colour_b,relationship_type,source_page,evidence
look_013,Desire,polished chrome,,white,,same_look_finish_cooccurrence,41,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Desire"" look on page 41."
look_014,Desire,polished chrome,white,,,same_look_finish_cooccurrence,43,"Both finishes appear among products in the ""Desire"" look on page 43."
look_014,Desire,polished chrome,,white,,same_look_finish_cooccurrence,43,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Desire"" look on page 43."
look_014,Desire,white,,white,,same_look_finish_cooccurrence,43,"Finish ""white"" and colour ""white"" both appear among products in the ""Desire"" look on page 43."
look_015,Desire,polished chrome,,white,,same_look_finish_cooccurrence,45,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Desire"" look on page 45."
look_016,Desire,polished chrome,white,,,same_look_finish_cooccurrence,47,"Both finishes appear among products in the ""Desire"" look on page 47."
look_016,Desire,polished chrome,,white,,same_look_finish_cooccurrence,47,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Desire"" look on page 47."
look_016,Desire,white,,white,,same_look_finish_cooccurrence,47,"Finish ""white"" and colour ""white"" both appear among products in the ""Desire"" look on page 47."
look_017,Sublime,,,polished chrome,white,same_look_finish_cooccurrence,49,"Both colours appear among products in the ""Sublime"" look on page 49."
look_017,Sublime,polished chrome,,polished chrome,,same_look_finish_cooccurrence,49,"Finish ""polished chrome"" and colour ""polished chrome"" both appear among products in the ""Sublime"" look on page 49."
look_017,Sublime,polished chrome,,white,,same_look_finish_cooccurrence,49,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Sublime"" look on page 49."
look_018,Sublime,polished chrome,polished chrome cp,,,same_look_finish_cooccurrence,51,"Both finishes appear among products in the ""Sublime"" look on page 51."
look_018,Sublime,,,polished chrome cp,white,same_look_finish_cooccurrence,51,"Both colours appear among products in the ""Sublime"" look on page 51."
look_018,Sublime,polished chrome,,polished chrome cp,,same_look_finish_cooccurrence,51,"Finish ""polished chrome"" and colour ""polished chrome cp"" both appear among products in the ""Sublime"" look on page 51."
look_018,Sublime,polished chrome,,white,,same_look_finish_cooccurrence,51,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Sublime"" look on page 51."
look_018,Sublime,polished chrome cp,,polished chrome cp,,same_look_finish_cooccurrence,51,"Finish ""polished chrome cp"" and colour ""polished chrome cp"" both appear among products in the ""Sublime"" look on page 51."
look_018,Sublime,polished chrome cp,,white,,same_look_finish_cooccurrence,51,"Finish ""polished chrome cp"" and colour ""white"" both appear among products in the ""Sublime"" look on page 51."
look_019,Sublime,polished chrome,polished chrome cp,,,same_look_finish_cooccurrence,53,"Both finishes appear among products in the ""Sublime"" look on page 53."
look_019,Sublime,,,polished chrome,white,same_look_finish_cooccurrence,53,"Both colours appear among products in the ""Sublime"" look on page 53."
look_019,Sublime,polished chrome,,polished chrome,,same_look_finish_cooccurrence,53,"Finish ""polished chrome"" and colour ""polished chrome"" both appear among products in the ""Sublime"" look on page 53."
look_019,Sublime,polished chrome,,white,,same_look_finish_cooccurrence,53,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Sublime"" look on page 53."
look_019,Sublime,polished chrome cp,,polished chrome,,same_look_finish_cooccurrence,53,"Finish ""polished chrome cp"" and colour ""polished chrome"" both appear among products in the ""Sublime"" look on page 53."
look_019,Sublime,polished chrome cp,,white,,same_look_finish_cooccurrence,53,"Finish ""polished chrome cp"" and colour ""white"" both appear among products in the ""Sublime"" look on page 53."
look_020,Imperial,,,polished chrome,white,same_look_finish_cooccurrence,55,"Both colours appear among products in the ""Imperial"" look on page 55."
look_020,Imperial,polished chrome,,polished chrome,,same_look_finish_cooccurrence,55,"Finish ""polished chrome"" and colour ""polished chrome"" both appear among products in the ""Imperial"" look on page 55."
look_020,Imperial,polished chrome,,white,,same_look_finish_cooccurrence,55,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Imperial"" look on page 55."
look_021,Imperial,,,polished chrome,white,same_look_finish_cooccurrence,57,"Both colours appear among products in the ""Imperial"" look on page 57."
look_021,Imperial,polished chrome,,polished chrome,,same_look_finish_cooccurrence,57,"Finish ""polished chrome"" and colour ""polished chrome"" both appear among products in the ""Imperial"" look on page 57."
look_021,Imperial,polished chrome,,white,,same_look_finish_cooccurrence,57,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Imperial"" look on page 57."
look_022,Luxe,polished chrome,white with actuation button in brushed nickel,,,same_look_finish_cooccurrence,59,"Both finishes appear among products in the ""Luxe"" look on page 59."
look_022,Luxe,polished chrome,,white,,same_look_finish_cooccurrence,59,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Luxe"" look on page 59."
look_022,Luxe,white with actuation button in brushed nickel,,white,,same_look_finish_cooccurrence,59,"Finish ""white with actuation button in brushed nickel"" and colour ""white"" both appear among products in the ""Luxe"" look on page 59."
look_023,Luxe,black,polished chrome,,,same_look_finish_cooccurrence,61,"Both finishes appear among products in the ""Luxe"" look on page 61."
look_023,Luxe,black,,white,,same_look_finish_cooccurrence,61,"Finish ""black"" and colour ""white"" both appear among products in the ""Luxe"" look on page 61."
look_023,Luxe,polished chrome,,white,,same_look_finish_cooccurrence,61,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Luxe"" look on page 61."
look_024,Noir,black with actuation button in brushed nickel,french gold,,,same_look_finish_cooccurrence,63,"Both finishes appear among products in the ""Noir"" look on page 63."
look_024,Noir,black with actuation button in brushed nickel,matte black,,,same_look_finish_cooccurrence,63,"Both finishes appear among products in the ""Noir"" look on page 63."
look_024,Noir,black with actuation button in brushed nickel,polished chrome,,,same_look_finish_cooccurrence,63,"Both finishes appear among products in the ""Noir"" look on page 63."
look_024,Noir,french gold,matte black,,,same_look_finish_cooccurrence,63,"Both finishes appear among products in the ""Noir"" look on page 63."
look_024,Noir,french gold,polished chrome,,,same_look_finish_cooccurrence,63,"Both finishes appear among products in the ""Noir"" look on page 63."
look_024,Noir,matte black,polished chrome,,,same_look_finish_cooccurrence,63,"Both finishes appear among products in the ""Noir"" look on page 63."
look_024,Noir,,,black,french gold,same_look_finish_cooccurrence,63,"Both colours appear among products in the ""Noir"" look on page 63."
look_024,Noir,,,black,polished chrome,same_look_finish_cooccurrence,63,"Both colours appear among products in the ""Noir"" look on page 63."
look_024,Noir,,,black,white,same_look_finish_cooccurrence,63,"Both colours appear among products in the ""Noir"" look on page 63."
look_024,Noir,,,french gold,polished chrome,same_look_finish_cooccurrence,63,"Both colours appear among products in the ""Noir"" look on page 63."
look_024,Noir,,,french gold,white,same_look_finish_cooccurrence,63,"Both colours appear among products in the ""Noir"" look on page 63."
look_024,Noir,,,polished chrome,white,same_look_finish_cooccurrence,63,"Both colours appear among products in the ""Noir"" look on page 63."
look_024,Noir,black with actuation button in brushed nickel,,black,,same_look_finish_cooccurrence,63,"Finish ""black with actuation button in brushed nickel"" and colour ""black"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,black with actuation button in brushed nickel,,french gold,,same_look_finish_cooccurrence,63,"Finish ""black with actuation button in brushed nickel"" and colour ""french gold"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,black with actuation button in brushed nickel,,polished chrome,,same_look_finish_cooccurrence,63,"Finish ""black with actuation button in brushed nickel"" and colour ""polished chrome"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,black with actuation button in brushed nickel,,white,,same_look_finish_cooccurrence,63,"Finish ""black with actuation button in brushed nickel"" and colour ""white"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,french gold,,black,,same_look_finish_cooccurrence,63,"Finish ""french gold"" and colour ""black"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,french gold,,french gold,,same_look_finish_cooccurrence,63,"Finish ""french gold"" and colour ""french gold"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,french gold,,polished chrome,,same_look_finish_cooccurrence,63,"Finish ""french gold"" and colour ""polished chrome"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,french gold,,white,,same_look_finish_cooccurrence,63,"Finish ""french gold"" and colour ""white"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,matte black,,black,,same_look_finish_cooccurrence,63,"Finish ""matte black"" and colour ""black"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,matte black,,french gold,,same_look_finish_cooccurrence,63,"Finish ""matte black"" and colour ""french gold"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,matte black,,polished chrome,,same_look_finish_cooccurrence,63,"Finish ""matte black"" and colour ""polished chrome"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,matte black,,white,,same_look_finish_cooccurrence,63,"Finish ""matte black"" and colour ""white"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,polished chrome,,black,,same_look_finish_cooccurrence,63,"Finish ""polished chrome"" and colour ""black"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,polished chrome,,french gold,,same_look_finish_cooccurrence,63,"Finish ""polished chrome"" and colour ""french gold"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,polished chrome,,polished chrome,,same_look_finish_cooccurrence,63,"Finish ""polished chrome"" and colour ""polished chrome"" both appear among products in the ""Noir"" look on page 63."
look_024,Noir,polished chrome,,white,,same_look_finish_cooccurrence,63,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Noir"" look on page 63."
look_025,Noir,matte black,polished chrome,,,same_look_finish_cooccurrence,65,"Both finishes appear among products in the ""Noir"" look on page 65."
look_025,Noir,matte black,rose gold,,,same_look_finish_cooccurrence,65,"Both finishes appear among products in the ""Noir"" look on page 65."
look_025,Noir,polished chrome,rose gold,,,same_look_finish_cooccurrence,65,"Both finishes appear among products in the ""Noir"" look on page 65."
look_025,Noir,,,black,polished chrome,same_look_finish_cooccurrence,65,"Both colours appear among products in the ""Noir"" look on page 65."
look_025,Noir,,,black,rose gold,same_look_finish_cooccurrence,65,"Both colours appear among products in the ""Noir"" look on page 65."
look_025,Noir,,,black,white,same_look_finish_cooccurrence,65,"Both colours appear among products in the ""Noir"" look on page 65."
look_025,Noir,,,polished chrome,rose gold,same_look_finish_cooccurrence,65,"Both colours appear among products in the ""Noir"" look on page 65."
look_025,Noir,,,polished chrome,white,same_look_finish_cooccurrence,65,"Both colours appear among products in the ""Noir"" look on page 65."
look_025,Noir,,,rose gold,white,same_look_finish_cooccurrence,65,"Both colours appear among products in the ""Noir"" look on page 65."
look_025,Noir,matte black,,black,,same_look_finish_cooccurrence,65,"Finish ""matte black"" and colour ""black"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,matte black,,polished chrome,,same_look_finish_cooccurrence,65,"Finish ""matte black"" and colour ""polished chrome"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,matte black,,rose gold,,same_look_finish_cooccurrence,65,"Finish ""matte black"" and colour ""rose gold"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,matte black,,white,,same_look_finish_cooccurrence,65,"Finish ""matte black"" and colour ""white"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,polished chrome,,black,,same_look_finish_cooccurrence,65,"Finish ""polished chrome"" and colour ""black"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,polished chrome,,polished chrome,,same_look_finish_cooccurrence,65,"Finish ""polished chrome"" and colour ""polished chrome"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,polished chrome,,rose gold,,same_look_finish_cooccurrence,65,"Finish ""polished chrome"" and colour ""rose gold"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,polished chrome,,white,,same_look_finish_cooccurrence,65,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,rose gold,,black,,same_look_finish_cooccurrence,65,"Finish ""rose gold"" and colour ""black"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,rose gold,,polished chrome,,same_look_finish_cooccurrence,65,"Finish ""rose gold"" and colour ""polished chrome"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,rose gold,,rose gold,,same_look_finish_cooccurrence,65,"Finish ""rose gold"" and colour ""rose gold"" both appear among products in the ""Noir"" look on page 65."
look_025,Noir,rose gold,,white,,same_look_finish_cooccurrence,65,"Finish ""rose gold"" and colour ""white"" both appear among products in the ""Noir"" look on page 65."
look_026,Elegance,polished chrome,,white new,,same_look_finish_cooccurrence,67,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Elegance"" look on page 67."
look_027,Elegance,polished chrome,,white new,,same_look_finish_cooccurrence,69,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Elegance"" look on page 69."
look_028,Elegance,polished chrome,,white new,,same_look_finish_cooccurrence,71,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Elegance"" look on page 71."
look_029,Elegance,polished chrome,,white new,,same_look_finish_cooccurrence,73,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Elegance"" look on page 73."
look_030,Elegance,polished chrome,,white new,,same_look_finish_cooccurrence,75,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Elegance"" look on page 75."
look_031,Elegance,polished chrome,,white new,,same_look_finish_cooccurrence,77,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Elegance"" look on page 77."
look_032,Elegance,polished chrome,,white new,,same_look_finish_cooccurrence,79,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Elegance"" look on page 79."
look_033,Harmony,polished chrome,polished chrome new,,,same_look_finish_cooccurrence,81,"Both finishes appear among products in the ""Harmony"" look on page 81."
look_033,Harmony,polished chrome,white,,,same_look_finish_cooccurrence,81,"Both finishes appear among products in the ""Harmony"" look on page 81."
look_033,Harmony,polished chrome new,white,,,same_look_finish_cooccurrence,81,"Both finishes appear among products in the ""Harmony"" look on page 81."
look_033,Harmony,polished chrome,,white,,same_look_finish_cooccurrence,81,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Harmony"" look on page 81."
look_033,Harmony,polished chrome new,,white,,same_look_finish_cooccurrence,81,"Finish ""polished chrome new"" and colour ""white"" both appear among products in the ""Harmony"" look on page 81."
look_033,Harmony,white,,white,,same_look_finish_cooccurrence,81,"Finish ""white"" and colour ""white"" both appear among products in the ""Harmony"" look on page 81."
look_034,Harmony,new polished chrome,polished chrome,,,same_look_finish_cooccurrence,83,"Both finishes appear among products in the ""Harmony"" look on page 83."
look_034,Harmony,new polished chrome,polished chrome new,,,same_look_finish_cooccurrence,83,"Both finishes appear among products in the ""Harmony"" look on page 83."
look_034,Harmony,polished chrome,polished chrome new,,,same_look_finish_cooccurrence,83,"Both finishes appear among products in the ""Harmony"" look on page 83."
look_034,Harmony,new polished chrome,,white,,same_look_finish_cooccurrence,83,"Finish ""new polished chrome"" and colour ""white"" both appear among products in the ""Harmony"" look on page 83."
look_034,Harmony,polished chrome,,white,,same_look_finish_cooccurrence,83,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Harmony"" look on page 83."
look_034,Harmony,polished chrome new,,white,,same_look_finish_cooccurrence,83,"Finish ""polished chrome new"" and colour ""white"" both appear among products in the ""Harmony"" look on page 83."
look_035,Harmony,polished chrome,polished chrome new,,,same_look_finish_cooccurrence,85,"Both finishes appear among products in the ""Harmony"" look on page 85."
look_035,Harmony,,,white,white new,same_look_finish_cooccurrence,85,"Both colours appear among products in the ""Harmony"" look on page 85."
look_035,Harmony,polished chrome,,white,,same_look_finish_cooccurrence,85,"Finish ""polished chrome"" and colour ""white"" both appear among products in the ""Harmony"" look on page 85."
look_035,Harmony,polished chrome,,white new,,same_look_finish_cooccurrence,85,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Harmony"" look on page 85."
look_035,Harmony,polished chrome new,,white,,same_look_finish_cooccurrence,85,"Finish ""polished chrome new"" and colour ""white"" both appear among products in the ""Harmony"" look on page 85."
look_035,Harmony,polished chrome new,,white new,,same_look_finish_cooccurrence,85,"Finish ""polished chrome new"" and colour ""white new"" both appear among products in the ""Harmony"" look on page 85."
look_036,Harmony,polished chrome,polished chrome new,,,same_look_finish_cooccurrence,87,"Both finishes appear among products in the ""Harmony"" look on page 87."
look_036,Harmony,polished chrome,,white new,,same_look_finish_cooccurrence,87,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Harmony"" look on page 87."
look_036,Harmony,polished chrome new,,white new,,same_look_finish_cooccurrence,87,"Finish ""polished chrome new"" and colour ""white new"" both appear among products in the ""Harmony"" look on page 87."
look_037,Harmony,polished chrome,polished chrome new,,,same_look_finish_cooccurrence,89,"Both finishes appear among products in the ""Harmony"" look on page 89."
look_037,Harmony,polished chrome,,white new,,same_look_finish_cooccurrence,89,"Finish ""polished chrome"" and colour ""white new"" both appear among products in the ""Harmony"" look on page 89."
look_037,Harmony,polished chrome new,,white new,,same_look_finish_cooccurrence,89,"Finish ""polished chrome new"" and colour ""white new"" both appear among products in the ""Harmony"" look on page 89."
